ID,Date,victims,month
1,1/10/2005,1,1
2,1/11/2005,1,1
3,1/12/2005,0,1
4,1/13/2005,0,1
5,1/14/2005,0,1
6,1/15/2005,1,1
7,1/16/2005,0,1
8,1/17/2005,0,1
9,1/18/2005,0,1
10,1/19/2005,0,1
11,1/20/2005,0,1
12,1/21/2005,0,1
13,1/22/2005,5,1
14,1/23/2005,0,1
15,1/24/2005,0,1
16,1/25/2005,0,1
17,1/26/2005,0,1
18,1/27/2005,0,1
19,1/28/2005,0,1
20,1/29/2005,0,1
21,1/30/2005,2,1
22,1/31/2005,1,1
23,2/1/2005,0,2
24,2/2/2005,0,2
25,2/3/2005,0,2
26,2/4/2005,0,2
27,2/5/2005,0,2
28,2/6/2005,0,2
29,2/7/2005,0,2
30,2/8/2005,0,2
31,2/9/2005,0,2
32,2/10/2005,0,2
33,2/11/2005,0,2
34,2/12/2005,0,2
35,2/13/2005,0,2
36,2/14/2005,0,2
37,2/15/2005,0,2
38,2/16/2005,0,2
39,2/17/2005,0,2
40,2/18/2005,0,2
41,2/19/2005,0,2
42,2/20/2005,1,2
43,2/21/2005,0,2
44,2/22/2005,0,2
45,2/23/2005,0,2
46,2/24/2005,0,2
47,2/25/2005,1,2
48,2/26/2005,1,2
49,2/27/2005,0,2
50,2/28/2005,0,2
51,3/1/2005,0,3
52,3/2/2005,0,3
53,3/3/2005,0,3
54,3/4/2005,0,3
55,3/5/2005,0,3
56,3/6/2005,0,3
57,3/7/2005,0,3
58,3/8/2005,0,3
59,3/9/2005,0,3
60,3/10/2005,0,3
61,3/11/2005,0,3
62,3/12/2005,0,3
63,3/13/2005,0,3
64,3/14/2005,0,3
65,3/15/2005,0,3
66,3/16/2005,0,3
67,3/17/2005,0,3
68,3/18/2005,0,3
69,3/19/2005,0,3
70,3/20/2005,0,3
71,3/21/2005,0,3
72,3/22/2005,0,3
73,3/23/2005,0,3
74,3/24/2005,0,3
75,3/25/2005,0,3
76,3/26/2005,0,3
77,3/27/2005,0,3
78,3/28/2005,0,3
79,3/29/2005,0,3
80,3/30/2005,0,3
81,3/31/2005,0,3
82,4/1/2005,0,4
83,4/2/2005,0,4
84,4/3/2005,0,4
85,4/4/2005,0,4
86,4/5/2005,1,4
87,4/6/2005,0,4
88,4/7/2005,0,4
89,4/8/2005,0,4
90,4/9/2005,0,4
91,4/10/2005,0,4
92,4/11/2005,0,4
93,4/12/2005,0,4
94,4/13/2005,0,4
95,4/14/2005,0,4
96,4/15/2005,1,4
97,4/16/2005,0,4
98,4/17/2005,0,4
99,4/18/2005,0,4
100,4/19/2005,0,4
101,4/20/2005,0,4
102,4/21/2005,0,4
103,4/22/2005,0,4
104,4/23/2005,0,4
105,4/24/2005,0,4
106,4/25/2005,0,4
107,4/26/2005,0,4
108,4/27/2005,0,4
109,4/28/2005,1,4
110,4/29/2005,0,4
111,4/30/2005,0,4
112,5/1/2005,0,5
113,5/2/2005,1,5
114,5/3/2005,0,5
115,5/4/2005,0,5
116,5/5/2005,0,5
117,5/6/2005,0,5
118,5/7/2005,0,5
119,5/8/2005,1,5
120,5/9/2005,0,5
121,5/10/2005,0,5
122,5/11/2005,0,5
123,5/12/2005,0,5
124,5/13/2005,0,5
125,5/14/2005,0,5
126,5/15/2005,0,5
127,5/16/2005,0,5
128,5/17/2005,0,5
129,5/18/2005,0,5
130,5/19/2005,0,5
131,5/20/2005,0,5
132,5/21/2005,0,5
133,5/22/2005,0,5
134,5/23/2005,0,5
135,5/24/2005,0,5
136,5/25/2005,0,5
137,5/26/2005,0,5
138,5/27/2005,0,5
139,5/28/2005,0,5
140,5/29/2005,0,5
141,5/30/2005,0,5
142,5/31/2005,0,5
143,6/1/2005,0,6
144,6/2/2005,0,6
145,6/3/2005,0,6
146,6/4/2005,0,6
147,6/5/2005,0,6
148,6/6/2005,0,6
149,6/7/2005,0,6
150,6/8/2005,0,6
151,6/9/2005,0,6
152,6/10/2005,0,6
153,6/11/2005,0,6
154,6/12/2005,0,6
155,6/13/2005,0,6
156,6/14/2005,0,6
157,6/15/2005,0,6
158,6/16/2005,0,6
159,6/17/2005,0,6
160,6/18/2005,0,6
161,6/19/2005,0,6
162,6/20/2005,0,6
163,6/21/2005,0,6
164,6/22/2005,0,6
165,6/23/2005,0,6
166,6/24/2005,0,6
167,6/25/2005,0,6
168,6/26/2005,0,6
169,6/27/2005,0,6
170,6/28/2005,0,6
171,6/29/2005,0,6
172,6/30/2005,0,6
173,7/1/2005,0,7
174,7/2/2005,0,7
175,7/3/2005,0,7
176,7/4/2005,0,7
177,7/5/2005,0,7
178,7/6/2005,0,7
179,7/7/2005,0,7
180,7/8/2005,0,7
181,7/9/2005,0,7
182,7/10/2005,0,7
183,7/11/2005,0,7
184,7/12/2005,0,7
185,7/13/2005,0,7
186,7/14/2005,0,7
187,7/15/2005,0,7
188,7/16/2005,0,7
189,7/17/2005,0,7
190,7/18/2005,1,7
191,7/19/2005,0,7
192,7/20/2005,1,7
193,7/21/2005,0,7
194,7/22/2005,0,7
195,7/23/2005,2,7
196,7/24/2005,0,7
197,7/25/2005,0,7
198,7/26/2005,0,7
199,7/27/2005,0,7
200,7/28/2005,0,7
201,7/29/2005,0,7
202,7/30/2005,0,7
203,7/31/2005,0,7
204,8/1/2005,0,8
205,8/2/2005,0,8
206,8/3/2005,0,8
207,8/4/2005,0,8
208,8/5/2005,1,8
209,8/6/2005,0,8
210,8/7/2005,0,8
211,8/8/2005,0,8
212,8/9/2005,0,8
213,8/10/2005,0,8
214,8/11/2005,0,8
215,8/12/2005,0,8
216,8/13/2005,0,8
217,8/14/2005,0,8
218,8/15/2005,0,8
219,8/16/2005,0,8
220,8/17/2005,0,8
221,8/18/2005,0,8
222,8/19/2005,0,8
223,8/20/2005,0,8
224,8/21/2005,0,8
225,8/22/2005,0,8
226,8/23/2005,0,8
227,8/24/2005,0,8
228,8/25/2005,0,8
229,8/26/2005,0,8
230,8/27/2005,0,8
231,8/28/2005,0,8
232,8/29/2005,0,8
233,8/30/2005,0,8
234,8/31/2005,0,8
235,9/1/2005,0,9
236,9/2/2005,0,9
